Epoch [97/2000], Average Loss: 0.000802, Current_LR:0.0005
Epoch [98/2000], Average Loss: 0.000780, Current_LR:0.0005
Epoch [99/2000], Average Loss: 0.000813, Current_LR:0.0005
Epoch [100/2000], Average Loss: 0.000792, Current_LR:0.0005
Epoch [101/2000], Average Loss: 0.000768, Current_LR:0.0005
Epoch [102/2000], Average Loss: 0.000767, Current_LR:0.0005
Epoch [103/2000], Average Loss: 0.000733, Current_LR:0.0005
Epoch [104/2000], Average Loss: 0.000777, Current_LR:0.0005
Epoch [105/2000], Average Loss: 0.000715, Current_LR:0.0005
Epoch [106/2000], Average Loss: 0.000717, Current_LR:0.0005
Epoch [107/2000], Average Loss: 0.000708, Current_LR:0.0005
Epoch [108/2000], Average Loss: 0.000698, Current_LR:0.0005
Epoch [109/2000], Average Loss: 0.000690, Current_LR:0.0005
Epoch [110/2000], Average Loss: 0.000682, Current_LR:0.0005
Epoch [111/2000], Average Loss: 0.000665, Current_LR:0.0005
Epoch [112/2000], Average Loss: 0.000696, Current_LR:0.0005
Epoch [113/2000], Average Loss: 0.000689, Current_LR:0.0005
Epoch [114/2000], Average Loss: 0.000657, Current_LR:0.0005
Epoch [115/2000], Average Loss: 0.000650, Current_LR:0.0005
Epoch [116/2000], Average Loss: 0.000671, Current_LR:0.0005
Epoch [117/2000], Average Loss: 0.000632, Current_LR:0.0005
Epoch [118/2000], Average Loss: 0.000629, Current_LR:0.0005
Epoch [119/2000], Average Loss: 0.000627, Current_LR:0.0005
Epoch [120/2000], Average Loss: 0.000615, Current_LR:0.0005
Epoch [121/2000], Average Loss: 0.000613, Current_LR:0.0005
Epoch [122/2000], Average Loss: 0.000600, Current_LR:0.0005
Epoch [123/2000], Average Loss: 0.000592, Current_LR:0.0005
Epoch [124/2000], Average Loss: 0.000613, Current_LR:0.0005
Epoch [125/2000], Average Loss: 0.000598, Current_LR:0.0005
Epoch [126/2000], Average Loss: 0.000603, Current_LR:0.0005
Epoch [127/2000], Average Loss: 0.000596, Current_LR:0.0005
Epoch [128/2000], Average Loss: 0.000582, Current_LR:0.0005
Epoch [129/2000], Average Loss: 0.000563, Current_LR:0.0005
Epoch [130/2000], Average Loss: 0.000578, Current_LR:0.0005
Epoch [131/2000], Average Loss: 0.000562, Current_LR:0.0005
Epoch [132/2000], Average Loss: 0.000549, Current_LR:0.0005
Epoch [133/2000], Average Loss: 0.000562, Current_LR:0.0005
Epoch [134/2000], Average Loss: 0.000563, Current_LR:0.0005
Epoch [135/2000], Average Loss: 0.000548, Current_LR:0.0005
Epoch [136/2000], Average Loss: 0.000560, Current_LR:0.0005
Epoch [137/2000], Average Loss: 0.000559, Current_LR:0.0005
Epoch [138/2000], Average Loss: 0.000544, Current_LR:0.0005
Epoch [139/2000], Average Loss: 0.000527, Current_LR:0.0005
Epoch [140/2000], Average Loss: 0.000521, Current_LR:0.0005
Epoch [141/2000], Average Loss: 0.000523, Current_LR:0.0005
Epoch [142/2000], Average Loss: 0.000533, Current_LR:0.0005
Epoch [143/2000], Average Loss: 0.000514, Current_LR:0.0005
Epoch [144/2000], Average Loss: 0.000517, Current_LR:0.0005
Epoch [145/2000], Average Loss: 0.000522, Current_LR:0.0005
Epoch [146/2000], Average Loss: 0.000512, Current_LR:0.0005
Epoch [147/2000], Average Loss: 0.000507, Current_LR:0.0005
Epoch [148/2000], Average Loss: 0.000515, Current_LR:0.0005
Epoch [149/2000], Average Loss: 0.000499, Current_LR:0.0005
Epoch [150/2000], Average Loss: 0.000491, Current_LR:0.0005
Epoch [151/2000], Average Loss: 0.000497, Current_LR:0.0005
Epoch [152/2000], Average Loss: 0.000504, Current_LR:0.0005
Epoch [153/2000], Average Loss: 0.000504, Current_LR:0.0005
Epoch [154/2000], Average Loss: 0.000499, Current_LR:0.0005
Epoch [155/2000], Average Loss: 0.000488, Current_LR:0.0005
Epoch [156/2000], Average Loss: 0.000493, Current_LR:0.0005
Epoch [157/2000], Average Loss: 0.000493, Current_LR:0.0005
Epoch [158/2000], Average Loss: 0.000475, Current_LR:0.0005
Epoch [159/2000], Average Loss: 0.000479, Current_LR:0.0005
Epoch [160/2000], Average Loss: 0.000479, Current_LR:0.0005
Epoch [161/2000], Average Loss: 0.000467, Current_LR:0.0005
Epoch [162/2000], Average Loss: 0.000482, Current_LR:0.0005
Epoch [163/2000], Average Loss: 0.000482, Current_LR:0.0005
Epoch [164/2000], Average Loss: 0.000479, Current_LR:0.0005
Epoch [165/2000], Average Loss: 0.000469, Current_LR:0.0005
Epoch [166/2000], Average Loss: 0.000469, Current_LR:0.0005
Epoch [167/2000], Average Loss: 0.000460, Current_LR:0.0005
Epoch [168/2000], Average Loss: 0.000455, Current_LR:0.0005
Epoch [169/2000], Average Loss: 0.000454, Current_LR:0.0005
Epoch [170/2000], Average Loss: 0.000453, Current_LR:0.0005
Epoch [171/2000], Average Loss: 0.000463, Current_LR:0.0005
Epoch [172/2000], Average Loss: 0.000454, Current_LR:0.0005
Epoch [173/2000], Average Loss: 0.000440, Current_LR:0.0005
Epoch [174/2000], Average Loss: 0.000450, Current_LR:0.0005
Epoch [175/2000], Average Loss: 0.000441, Current_LR:0.0005
Epoch [176/2000], Average Loss: 0.000432, Current_LR:0.0005
Epoch [177/2000], Average Loss: 0.000430, Current_LR:0.0005
Epoch [178/2000], Average Loss: 0.000433, Current_LR:0.0005
Epoch [179/2000], Average Loss: 0.000431, Current_LR:0.0005
Epoch [180/2000], Average Loss: 0.000424, Current_LR:0.0005
Epoch [181/2000], Average Loss: 0.000426, Current_LR:0.0005
Epoch [182/2000], Average Loss: 0.000428, Current_LR:0.0005
Epoch [183/2000], Average Loss: 0.000437, Current_LR:0.0005
Epoch [184/2000], Average Loss: 0.000432, Current_LR:0.0005
Epoch [185/2000], Average Loss: 0.000419, Current_LR:0.0005
Epoch [186/2000], Average Loss: 0.000420, Current_LR:0.0005
Epoch [187/2000], Average Loss: 0.000434, Current_LR:0.0005
Epoch [188/2000], Average Loss: 0.000421, Current_LR:0.0005
Epoch [189/2000], Average Loss: 0.000418, Current_LR:0.0005
Epoch [190/2000], Average Loss: 0.000414, Current_LR:0.0005
Epoch [191/2000], Average Loss: 0.000410, Current_LR:0.0005
Epoch [192/2000], Average Loss: 0.000424, Current_LR:0.0005
Epoch [193/2000], Average Loss: 0.000426, Current_LR:0.0005
Epoch [194/2000], Average Loss: 0.000431, Current_LR:0.0005
Epoch [195/2000], Average Loss: 0.000418, Current_LR:0.0005
Epoch [196/2000], Average Loss: 0.000406, Current_LR:0.0005
Epoch [197/2000], Average Loss: 0.000423, Current_LR:0.0005
Epoch [198/2000], Average Loss: 0.000409, Current_LR:0.0005
Epoch [199/2000], Average Loss: 0.000410, Current_LR:0.0005
Epoch [200/2000], Average Loss: 0.000414, Current_LR:0.0005
Epoch [201/2000], Average Loss: 0.000415, Current_LR:0.0005
Epoch [202/2000], Average Loss: 0.000409, Current_LR:0.0005
Epoch [203/2000], Average Loss: 0.000410, Current_LR:0.0005
Epoch [204/2000], Average Loss: 0.000394, Current_LR:0.0005
Epoch [205/2000], Average Loss: 0.000400, Current_LR:0.0005
Epoch [206/2000], Average Loss: 0.000398, Current_LR:0.0005
Epoch [207/2000], Average Loss: 0.000386, Current_LR:0.0005
Epoch [208/2000], Average Loss: 0.000395, Current_LR:0.0005
Epoch [209/2000], Average Loss: 0.000396, Current_LR:0.0005
Epoch [210/2000], Average Loss: 0.000389, Current_LR:0.0005
Epoch [211/2000], Average Loss: 0.000385, Current_LR:0.0005
Epoch [212/2000], Average Loss: 0.000399, Current_LR:0.0005
Epoch [213/2000], Average Loss: 0.000383, Current_LR:0.0005
Epoch [214/2000], Average Loss: 0.000386, Current_LR:0.0005
Epoch [215/2000], Average Loss: 0.000385, Current_LR:0.0005
Epoch [216/2000], Average Loss: 0.000381, Current_LR:0.0005
Epoch [217/2000], Average Loss: 0.000389, Current_LR:0.0005
Epoch [218/2000], Average Loss: 0.000380, Current_LR:0.0005
Epoch [219/2000], Average Loss: 0.000377, Current_LR:0.0005
Epoch [220/2000], Average Loss: 0.000377, Current_LR:0.0005
Epoch [221/2000], Average Loss: 0.000391, Current_LR:0.0005
Epoch [222/2000], Average Loss: 0.000391, Current_LR:0.0005
Epoch [223/2000], Average Loss: 0.000382, Current_LR:0.0005
Epoch [224/2000], Average Loss: 0.000383, Current_LR:0.0005
Epoch [225/2000], Average Loss: 0.000367, Current_LR:0.0005
Epoch [226/2000], Average Loss: 0.000374, Current_LR:0.0005
Epoch [227/2000], Average Loss: 0.000380, Current_LR:0.0005
Epoch [228/2000], Average Loss: 0.000369, Current_LR:0.0005
Epoch [229/2000], Average Loss: 0.000380, Current_LR:0.0005
Epoch [230/2000], Average Loss: 0.000378, Current_LR:0.0005
Epoch [231/2000], Average Loss: 0.000377, Current_LR:0.0005
Epoch [232/2000], Average Loss: 0.000377, Current_LR:0.0005
Epoch [233/2000], Average Loss: 0.000370, Current_LR:0.0005
Epoch [234/2000], Average Loss: 0.000374, Current_LR:0.0005
Epoch [235/2000], Average Loss: 0.000369, Current_LR:0.0005
Epoch [236/2000], Average Loss: 0.000373, Current_LR:0.0005
Epoch [237/2000], Average Loss: 0.000366, Current_LR:0.0005
Epoch [238/2000], Average Loss: 0.000374, Current_LR:0.0005
Epoch [239/2000], Average Loss: 0.000368, Current_LR:0.0005
