Experiment name: EXP_2_1
Epoch [97/1000], Average Loss: 0.000781, Current_LR:0.0005
Epoch [98/1000], Average Loss: 0.000815, Current_LR:0.0005
Epoch [99/1000], Average Loss: 0.000759, Current_LR:0.0005
Epoch [100/1000], Average Loss: 0.000768, Current_LR:0.0005
Epoch [101/1000], Average Loss: 0.000726, Current_LR:0.0005
Epoch [102/1000], Average Loss: 0.000729, Current_LR:0.0005
Epoch [103/1000], Average Loss: 0.000763, Current_LR:0.0005
Epoch [104/1000], Average Loss: 0.000709, Current_LR:0.0005
Epoch [105/1000], Average Loss: 0.000768, Current_LR:0.0005
Epoch [106/1000], Average Loss: 0.000717, Current_LR:0.0005
Epoch [107/1000], Average Loss: 0.000701, Current_LR:0.0005
Epoch [108/1000], Average Loss: 0.000677, Current_LR:0.0005
Epoch [109/1000], Average Loss: 0.000669, Current_LR:0.0005
Epoch [110/1000], Average Loss: 0.000658, Current_LR:0.0005
Epoch [111/1000], Average Loss: 0.000659, Current_LR:0.0005
Epoch [112/1000], Average Loss: 0.000662, Current_LR:0.0005
Epoch [113/1000], Average Loss: 0.000642, Current_LR:0.0005
Epoch [114/1000], Average Loss: 0.000616, Current_LR:0.0005
Epoch [115/1000], Average Loss: 0.000655, Current_LR:0.0005
Epoch [116/1000], Average Loss: 0.000631, Current_LR:0.0005
Epoch [117/1000], Average Loss: 0.000605, Current_LR:0.0005
Epoch [118/1000], Average Loss: 0.000594, Current_LR:0.0005
Epoch [119/1000], Average Loss: 0.000604, Current_LR:0.0005
Epoch [120/1000], Average Loss: 0.000616, Current_LR:0.0005
Epoch [121/1000], Average Loss: 0.000573, Current_LR:0.0005
Epoch [122/1000], Average Loss: 0.000585, Current_LR:0.0005
Epoch [123/1000], Average Loss: 0.000557, Current_LR:0.0005
Epoch [124/1000], Average Loss: 0.000603, Current_LR:0.0005
Epoch [125/1000], Average Loss: 0.000572, Current_LR:0.0005
Epoch [126/1000], Average Loss: 0.000571, Current_LR:0.0005
Epoch [127/1000], Average Loss: 0.000561, Current_LR:0.0005
Epoch [128/1000], Average Loss: 0.000552, Current_LR:0.0005
Epoch [129/1000], Average Loss: 0.000568, Current_LR:0.0005
Epoch [130/1000], Average Loss: 0.000521, Current_LR:0.0005
Epoch [131/1000], Average Loss: 0.000554, Current_LR:0.0005
Epoch [132/1000], Average Loss: 0.000522, Current_LR:0.0005
Epoch [133/1000], Average Loss: 0.000549, Current_LR:0.0005
Epoch [134/1000], Average Loss: 0.000509, Current_LR:0.0005
Epoch [135/1000], Average Loss: 0.000525, Current_LR:0.0005
Epoch [136/1000], Average Loss: 0.000530, Current_LR:0.0005
Epoch [137/1000], Average Loss: 0.000503, Current_LR:0.0005
Epoch [138/1000], Average Loss: 0.000534, Current_LR:0.0005
Epoch [139/1000], Average Loss: 0.000497, Current_LR:0.0005
Epoch [140/1000], Average Loss: 0.000503, Current_LR:0.0005
Epoch [141/1000], Average Loss: 0.000497, Current_LR:0.0005
Epoch [142/1000], Average Loss: 0.000477, Current_LR:0.0005
Epoch [143/1000], Average Loss: 0.000490, Current_LR:0.0005
Epoch [144/1000], Average Loss: 0.000484, Current_LR:0.0005
Epoch [145/1000], Average Loss: 0.000466, Current_LR:0.0005
Epoch [146/1000], Average Loss: 0.000463, Current_LR:0.0005
Epoch [147/1000], Average Loss: 0.000456, Current_LR:0.0005
Epoch [148/1000], Average Loss: 0.000447, Current_LR:0.0005
Epoch [149/1000], Average Loss: 0.000470, Current_LR:0.0005
Epoch [150/1000], Average Loss: 0.000458, Current_LR:0.0005
Epoch [151/1000], Average Loss: 0.000450, Current_LR:0.0005
Epoch [152/1000], Average Loss: 0.000476, Current_LR:0.0005
Epoch [153/1000], Average Loss: 0.000452, Current_LR:0.0005
Epoch [154/1000], Average Loss: 0.000452, Current_LR:0.0005
Epoch [155/1000], Average Loss: 0.000452, Current_LR:0.0005
Epoch [156/1000], Average Loss: 0.000420, Current_LR:0.0005
Epoch [157/1000], Average Loss: 0.000452, Current_LR:0.0005
Epoch [158/1000], Average Loss: 0.000437, Current_LR:0.0005
Epoch [159/1000], Average Loss: 0.000431, Current_LR:0.0005
Epoch [160/1000], Average Loss: 0.000433, Current_LR:0.0005
Epoch [161/1000], Average Loss: 0.000428, Current_LR:0.0005
Epoch [162/1000], Average Loss: 0.000425, Current_LR:0.0005
Epoch [163/1000], Average Loss: 0.000435, Current_LR:0.0005
Epoch [164/1000], Average Loss: 0.000433, Current_LR:0.0005
Epoch [165/1000], Average Loss: 0.000406, Current_LR:0.0005
Epoch [166/1000], Average Loss: 0.000418, Current_LR:0.0005
Epoch [167/1000], Average Loss: 0.000425, Current_LR:0.0005
Epoch [168/1000], Average Loss: 0.000397, Current_LR:0.0005
Epoch [169/1000], Average Loss: 0.000413, Current_LR:0.0005
Epoch [170/1000], Average Loss: 0.000424, Current_LR:0.0005
Epoch [171/1000], Average Loss: 0.000393, Current_LR:0.0005
